offset,threshold,correct,max_matches,true_positive,true_negative,false_positive,false_negative,accuracy,precision,recall,f1_score,extra_info
40,20,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_1px - 0.01"
40,35,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_1px - 0.01"
40,50,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_1px - 0.01"
60,13,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_1px - 0.01"
60,26,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_1px - 0.01"
60,40,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_1px - 0.01"
80,10,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_1px - 0.01"
80,20,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_1px - 0.01"
80,32,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_1px - 0.01"
100,9,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_1px - 0.01"
100,20,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_1px - 0.01"
100,32,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_1px - 0.01"
150,10,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_1px - 0.01"
150,20,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_1px - 0.01"
150,25,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_1px - 0.01"
40,20,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_dilated - 0.01"
40,30,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_dilated - 0.01"
40,45,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_dilated - 0.01"
60,17,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_dilated - 0.01"
60,27,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_dilated - 0.01"
60,42,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_dilated - 0.01"
80,14,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_dilated - 0.01"
80,24,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_dilated - 0.01"
80,40,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_dilated - 0.01"
100,13,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_dilated - 0.01"
100,27,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_dilated - 0.01"
100,40,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, flann, threshold - orb - 1px_dilated - 0.01"
